scenario,effective_routes,total_routes,signal_route_ratio,nonsignal_route_ratio,rs_rule_decision,event_rule_decision,notes
EnterActorFlow,80,93,0.000,0.562,R3_no_R4,R-E1/R-E3,R5 detections are actor-flow or weak nearby-junction evidence; do not add global R5.
EnterActorFlowV2,43,43,0.000,0.674,R3_no_R4,R-E1/R-E3,Same as EnterActorFlow.
HighwayCutIn,75,106,0.120,0.613,R3_R4,R-E1/R-E2/R-E3/R-E4,Mainly R3; R4 only with frame-level traffic-light control evidence; weak R5 not admitted.
HighwayExit,88,98,0.000,0.614,R3_no_R4,R-E1/R-E2/R-E3,Exit/split markings explain weak R5; no stable R4.
InterurbanActorFlow,90,91,0.000,0.933,R1_R3_R5_no_R4,R-E1/R-E2/R-E5,STOP/no-light junction dominates; no stable R4.
InterurbanAdvancedActorFlow,72,78,0.000,0.778,R1_R5_no_R4,R-E1/R-E5,No stable R4; R3 only if explicit merge/highway evidence appears.
InvadingTurn,98,102,0.010,0.357,R1_R2_R5_no_stable_R4,R-E1/R-E5/U-E5,Single R4 route treated as anomaly/review, not global R4.
MergerIntoSlowTraffic,88,96,0.102,0.648,R3_R4,R-E1/R-E3/R-E4,Mainly R3; R4 only with frame-level traffic-light control evidence; weak R5 not admitted.
MergerIntoSlowTrafficV2,103,105,0.000,0.709,R3_no_R4,R-E1/R-E3,Do not inherit V1's small R4 subset.
NonSignalizedJunctionRightTurn,93,95,0.129,0.860,R1_R4_R5,R-E1/R-E4/R-E5,Mostly R5; small signalized right-turn subset is kept.
OppositeVehicleTakingPriority,97,97,0.072,0.814,R1_R4_R5,R-E1/R-E4/R-E5/U-E7,Mostly R5; U-E7 only for R5 rule-failure frames, not normal R4.
PriorityAtJunction,99,99,0.869,0.778,R1_R4_R5,R-E1/R-E4/R-E5,Known mixed signalized/no-signal junction scenario.
T_Junction,247,247,0.874,0.684,R1_R4_R5,R-E1/R-E4/R-E5,T-junction can be signalized or stop/yield/no-light; classify by frame-level control source.
